Exercise,inv1, Unique Sub,1
Exercise,inv2, Unique Sub,1
Exercise,inv3, Unique Sub,1
Exercise,inv4, Unique Sub,1
Exercise,inv5, Unique Sub,1
Exercise,inv6, Unique Sub,1
Exercise,inv7, Unique Sub,1
Exercise,inv8, Unique Sub,1
Exercise,inv9, Unique Sub,1
Exercise,inv10, Unique Sub,1
Exercise,inv11, Unique Sub,1
Exercise,inv12, Unique Sub,1
Exercise,inv13, Unique Sub,1
Exercise,inv14, Unique Sub,1
Exercise,inv15, Unique Sub,1
Exercise,inv16, Unique Sub,1
Exercise,inv17, Unique Sub,1
Exercise,inv18, Unique Sub,1
Exercise,inv19, Unique Sub,1
Exercise,inv20, Unique Sub,1

