inv1 B: some trans.State
inv1 B: all s : State | some trans.s
inv1 S: all s : State | some s.tans
inv1 C: all s : State | some s.trans
inv1 C: all s : State | some s.trans
inv1 C: all s : State | some s.trans
inv1 C: all s : State | some s.trans
inv1 C: all s : State | some s.trans
inv1 C: all s : State | some s.trans
inv1 C: all s : State | some s.trans
inv1 C: all s : State | some s.trans

