NA H: THEME UPDATE
inv1 S: enrolled.Course in students
inv1 C: enrolled.Course in Student
inv2 C: teaches.Course in Professor
inv3 U: teaches.Person in Course
inv3 T: teaches.Person in grades.Course
inv3 U: teaches.Person in Course
inv3 U: teaches.Professor in Course
inv4 T: projects.Course in Project
inv4 T: projects.Course in Course
inv3 B: enrolled.Course in Student

