Pairs,19
,,"visible in profile",9
,,"visible = (visible & profile)",1
,,"all u:User | u.visible in u.profile",5
,,"all u:User, v : u.visible | v in u.profile",1
,,"always (all u : User, v : u.visible | v in u.profile)",1
,,"all w : Work, u : User | w in u.visible implies w in u.profile",2

