"always all f:Protected | historically f in Protected",17
"always all p:Protected | historically p in Protected",15
"always(all f : (File & Protected) | historically (f in Protected))",1
"always all f:File| f in Protected implies historically f in Protected",15
"always all f : Protected | f in Protected implies historically f in Protected",1
"always (all f:File | f in Protected implies  (historically some (f &   Protected)))",1
