NA H: THEME UPDATE
inv1 B: lone trans
inv2 S: on Init
inv1 B: lone trans
inv1 B: all s: State | lone s.trans
inv1 S: lone s.trans
inv1 B: lone State.trans
inv1 B: lone trans
inv3 T: lone State.Event
inv3 T: lone State.Init
inv3 S: lone State.transº.Event
inv3 T: lone State.~trans.Event
inv1 B: lone trans

