inv3,attempt1,1,BOD_4.als
inv3,attempt8,1,LOD_3.als
inv3,attempt9,1,LOD_3.als
inv5,attempt8,2,BOR_22.als,BOD_23.als
inv2,attempt30,1,QOR_7.als
inv3,attempt23,4,UOI_19.als,UOI_18.als,UOI_29.als,UOI_28.als
inv1,attempt6,5,UOI_7.als,LOD_3.als,BOR_4.als,BOR_5.als,LOR_2.als
inv1,attempt5,5,UOI_7.als,LOD_3.als,BOR_4.als,BOR_5.als,LOR_2.als
inv4,attempt10,1,UOI_13.als
inv9,attempt64,1,UOI_37.als
inv4,attempt5,1,LOD_4.als
inv4,attempt4,1,LOD_4.als
inv4,attempt3,2,UOI_26.als,LOD_4.als
inv9,attempt128,1,UOI_65.als
inv1,attempt3,1,UOR_9.als
inv3,attempt57,1,UOI_14.als
inv1,attempt6,1,LOR_2.als
inv1,attempt18,2,UOI_7.als,UOI_16.als
inv1,attempt3,1,UOR_9.als
inv1,attempt17,2,BOD_12.als,BOD_22.als
inv1,attempt2,3,BOD_23.als,BOR_21.als,BOR_22.als
inv2,attempt1,2,POI_15.als,UOI_14.als
inv3,attempt6,1,LOD_3.als
inv3,attempt7,1,LOD_3.als
inv3,attempt1,1,LOD_3.als
inv3,attempt4,1,LOD_3.als
inv4,attempt16,1,LOD_3.als
inv5,attempt17,1,LOD_4.als
inv5,attempt15,1,LOD_4.als
